Data di inserimento,Termine,Accento,Definizione,"Sinonimi (facoltativo, separa con ;)","Contrari (facoltativo, separa con ;)",Etimologia,Esempio 1,Esempio 2,Esempio 3,Frequenza d'uso,Linguaggio tecnico,Errori,APPRESO
,Impetrazione,impetrazióne,L'ottenere qualcosa tramite preghiere o suppliche.,Supplica; richiesta; preghiera; domanda,Concessione; rifiuto,"Derivato dal latino ""impetrare"".",Impetrazione della grazia.,Preghiera di impetrazione.,L'impetrazione dei favori divini.,Molto bassa,Religioso / Giuridico,Nessuno,No
,Implementare,implementàre,"Attuare, realizzare, mettere in pratica (piano, sistema, software).",Attuare; realizzare; mettere in opera; eseguire,Teorizzare; progettare; dismettere,"Dall'inglese ""to implement"".",Implementare una nuova strategia.,Il software è stato implementato con successo.,Implementare le misure di sicurezza.,Alta,Aziendale / Informatica,Nessuno,No
,Imporporarsi,imporporàrsi,Tingersi di color porpora; arrossire in viso.,Arrossire; colorirsi; accendersi in volto,Impallidire; sbiancare,"Derivato da ""porpora"".",Il cielo si imporpora al tramonto.,Si imporporò per la vergogna.,Le guance si imporporarono.,Bassa,Letterario,Nessuno,No
,Improbo,ìmprobo,"Disonesto (raro); molto faticoso, arduo, gravoso (uso prevalente).",Arduo; faticoso; gravoso; (raro) disonesto,Facile; agevole; onesto; probo,"Derivato dal latino ""improbus"" (non buono).",Una fatica improba.,Compito improbo.,Sforzo improbo.,Bassa,Letterario,Spesso pronunciato con l'accento sulla seconda sillaba: impròbo,No
,Inalberante,inalberànte,Che inalbera (bandiera); (araldica) animale che si impenna.,-,-,"Participio presente di ""inalberare"".",Cavallo inalberante (rampante).,Nave inalberante bandiera francese.,Uso raro.,Molto bassa,Araldica / Nautica,Nessuno,No
,Inanità,inanità,"Inutilità, vanità, vuotezza.",Inutilità; vanità; vuotezza; inconsistenza,Utilità; efficacia; concretezza; valore,"Derivato dal latino ""inanitas"".",L'inanità dei suoi sforzi.,Sentso di inanità della vita.,Rendersi conto dell'inanità delle ambizioni umane.,Bassa,Letterario,Nessuno,No
,Incoativo,incoatìvo,(Grammatica) Verbo o aspetto che indica l'inizio di un'azione.,(Grammatica) Di inizio; inceptivo,Terminativo; durativo,"Derivato dal latino ""inchoare"" (cominciare).","Verbi incoativi (es. fiorire, arrossire).",Aspetto incoativo.,Suffisso incoativo (-isc in finire/finisco).,Molto bassa,Grammatica,Nessuno,No
,Incubabolo,incubàbolo,Libro stampato alle origini della tipografia (entro l'anno 1500).,Incunabolo; libro antico (primi della stampa),-,"Derivato dal latino ""incunabula"" (fasce/culla).",Un prezioso incubabolo del '400.,Collezione di incubaboli.,Studiare gli incubaboli.,Bassa,Biblioteconomia,Incunabolo (sinonimo),No
,Incubo,ìncubo,Sogno angoscioso; spirito maligno che opprime nel sonno; pensiero ossessivo.,Sogno angoscioso; tormento; ossessione; peso,Sogno piacevole; sollievo; gioia,"Derivato dal latino ""incubus"" (che giace sopra).",Avere un incubo terribile.,Vivere un incubo a occhi aperti.,L'esame è il suo incubo peggiore.,Alta,Comune,Incube (nell'input: errore o plurale arcaico),No
,Indefesso,indefèsso,"Instancabile, assiduo, che non si ferma mai.",Instancabile; assiduo; solerte; perseverante,Pigro; stanco; incostante; neghittoso,"Derivato dal latino ""indefessus"".",Lavoratore indefesso.,Studio indefesso.,Attività indefessa.,Bassa,Letterario,Indefeso (significa senza difesa),No
,Indefettibile,indefettìbile,Che non può mancare o venir meno; infallibile.,Infallibile; eterno; imperituro; sicuro,Fallibile; precario; caduco; manchevole,"Derivato dal latino ""indefectibilis"".",Fedeltà indefettibile.,Un sostegno indefettibile.,La Chiesa è considerata indefettibile nella dottrina.,Bassa,Teologico / Formale,Indeffettibile (doppia f errata),No
,Indolente,indolènte,"Pigro, apatico, svogliato; (medicina) che non provoca dolore.",Pigro; apatico; svogliato; inerte,Attivo; energico; solerte; dinamico,"Derivato dal latino ""indolens"" (senza dolore).",Un ragazzo indolente che non vuole studiare.,Camminare con passo indolente.,Tumore a decorso indolente.,Media,Comune,Nessuno,No
,Indugiare,indugiàre,"Trattenersi, tardare, esitare; soffermarsi su qualcosa.",Tardare; esitare; trattenersi; soffermarsi,Affrettarsi; correre; decidere; agire,"Derivato dal latino ""indutiare"".",Indugiare a letto.,Indugiare con lo sguardo sui dettagli.,Non indugiare oltre.,Media,Comune,Nessuno,No
,Indugio,indùgio,"Ritardo, esitazione, perdita di tempo.",Ritardo; esitazione; pausa; rallentamento,Fretta; risolutezza; celerità; decisione,"Derivato da ""indugiare"".",Ruppero gli indugi e partirono.,Senza indugio.,Ogni indugio è fatale.,Media,Comune,Nessuno,No
,Indurre,indùrre,"Spingere, persuadere; provocare, causare; (logica) risalire dal particolare al generale.",Spingere; persuadere; causare; provocare,Distogliere; dissuadere; impedire; frenare,"Derivato dal latino ""inducere"".",Indurre in tentazione.,Il farmaco induce sonnolenza.,Indurre un parto.,Alta,Comune,Indure (una r),No
,Induzione,induzióne,Ragionamento che va dal particolare al generale; fenomeno fisico (elettromagnetica).,Ragionamento dal particolare al generale,Deduzione,"Derivato da ""indurre"".",Ragionare per induzione.,Fornello a induzione.,Induzione magnetica.,Media,Logica / Fisica,Nessuno,No
,Inebriato,inebriàto,"Ubriacato; figurato: esaltato, stordito da un'emozione.",Ubriaco; esaltato; stordito; felice,Sobrio; lucido; disincantato; triste,"Participio passato di ""inebriare"".",Inebriato dal vino.,Inebriato dal successo.,Inebriato dal profumo dei fiori.,Media,Comune,Nessuno,No
,Ineffabile,ineffàbile,Che non si può esprimere a parole (perché troppo grande o sublime).,Indicibile; inesprimibile; sublime; celestiale,Dicibile; esprimibile; comune; ordinario,"Derivato dal latino ""ineffabilis"".",Gioia ineffabile.,Mistero ineffabile.,Sorriso ineffabile (indefinibile).,Bassa,Letterario / Religioso,Inefabile (una f),No
,Infido,infìdo,"Di cui non ci si può fidare; traditore, insidioso.",Traditore; sleale; insidioso; falso,Fedele; leale; sicuro; onesto,"Derivato dal latino ""infidus"".",Un amico infido.,Acque infide.,Terreno infido e paludoso.,Media,Comune,Nessuno,No
,Infimo,ìnfimo,Il più basso (superlativo di basso); di pessima qualità o grado.,Bassissimo; pessimo; ultimo; spregevole,Eccelso; ottimo; sommo; supremo,"Derivato dal latino ""infimus"".",Di ordine infimo.,Qualità infima.,Prezzi infimi.,Media,Comune,Nessuno,No
,Ingiuria,ingiùria,Offesa grave all'onore o al decoro; danno ingiusto.,Offesa; insulto; oltraggio; affronto,Lode; complimento; elogio; riparazione,"Derivato dal latino ""iniuria"".",Coprire d'ingiurie.,Querela per ingiuria (reato depenalizzato in illecito civile).,Le ingiurie del tempo (i danni).,Media,Giuridico / Comune,Nessuno,No
,Ingramagliare,ingramagliàre,Vestire a lutto (gramaglie); parare di nero.,Vestire a lutto; parare di nero,-,"Derivato da ""gramaglia"" (abito da lutto).",La vedova si ingramagliò.,Ingramagliare la chiesa per il funerale.,Cielo ingramagliato (scuro).,Molto bassa,Arcaico,Nessuno,No
,Ingrifare,ingrifàre,(Gergo volgare/popolare) Eccitare sessualmente; assumere un aspetto grifagno/aggressivo.,(Volgare) Eccitare; stuzzicare; arrapare,Spegnere; calmare; smorzare,"Da ""grifo"" (muso) o incrocio con ""grifone"".",Quella vista lo ha ingrifato.,Ingrifarsi per un nonnulla.,Attenzione: termine molto colloquiale/basso.,Bassa,Gergo / Volgare,Nessuno,No
,Inguattare,inguattàre,"Nascondere, occultare (specie roba rubata o per non farla trovare).",Nascondere; occultare; celare; imbucare,Mostrare; esibire; svelare; tirare fuori,"Dialetto romanesco (da ""quatto"").",Ha inguattato i soldi sotto il materasso.,Inguattarsi per non farsi vedere.,Dove hai inguattato le chiavi?,Bassa (Regionale),Dialettale (Roma),Nessuno,No
,Iniquità,iniquità,"Mancanza di equità, grave ingiustizia; malvagità.",Ingiustizia; malvagità; nequizia; cattiveria,Equità; giustizia; bontà; rettitudine,"Derivato dal latino ""iniquitas"".",L'iniquità della sentenza.,Combattere le iniquità sociali.,Mondo pieno di iniquità.,Bassa,Formale / Religioso,Nessuno,No
,Iniquo,inìquo,"Ingiusto, non equo; malvagio.",Ingiusto; malvagio; disonesto; parziale,Giusto; equo; onesto; imparziale,"Derivato dal latino ""iniquus"".",Giudice iniquo.,Trattato di pace iniquo.,Legge iniqua.,Media,Formale,Inicuo (con la c),No
,Inizializzare,inizializzàre,(Informatica) Preparare un supporto o una variabile per l'uso; avviare.,Avviare; formattare; impostare; preparare,Chiudere; terminare; cancellare,"Dall'inglese ""initialize"".",Inizializzare il disco rigido.,Inizializzare una variabile a zero.,Errore nell'inizializzare il sistema.,Media,Informatica,Nessuno,No
,Insolente,insolènte,"Sfacciato, irrispettoso, arrogante.",Sfacciato; arrogante; impertinente; villano,Rispettoso; umile; educato; cortese,"Derivato dal latino ""insolens"" (non solito/eccessivo).",Risposta insolente.,Un ragazzino insolente.,Sguardo insolente.,Media,Comune,Nessuno,No
,Insolentire,insolentìre,Trattare con sfacciataggine o arroganza; mancare di rispetto.,Insultare; trattare male; (intr) diventare insolente,Rispettare; onorare; (intr) diventare umile,"Derivato da ""insolente"".",Insolentire i passanti.,Si è lasciato insolentire senza reagire.,Col tempo insolentì e divenne intrattabile.,Bassa,Letterario,Nessuno,No
,Instradare,instradàre,"Mettere sulla buona strada, avviare; (Informatica) dirigere dati (routing).",Avviare; indirizzare; orientare; incanalare,Sviare; disorientare; bloccare,"Derivato da ""strada"".",Instradare al lavoro.,La pratica è stata instradata correttamente.,Instradare i pacchetti di rete.,Media,Burocratico / Informatica,Instradata (participio nell'input),No
,Intabarrato,intabarràto,Avvolto in un tabarro o in un cappotto pesante.,Avvolto; coperto; imbacuccato; intabarrato,Scoperto; svestito; leggero,"Derivato da ""tabarro"" (mantello).",Uscì tutto intabarrato per il freddo.,Figura intabarrata nella nebbia.,Intabarrarsi bene.,Bassa,Letterario / Comune,Nessuno,No
,Intellezione,intellezióne,L'atto dell'intelletto che comprende; concezione filosofica.,Comprensione; concepimento; atto dell'intelletto,Incomprensione; ignoranza,"Derivato dal latino ""intellectio"".",L'intellezione dei principi primi.,Processo di intellezione.,Termine della filosofia scolastica.,Molto bassa,Filosofia,Intelezione (una l),No
,Interdizione,interdizióne,"Divieto, proibizione; provvedimento che toglie la capacità di agire legale.",Divieto; proibizione; inibizione; esclusione,Permesso; autorizzazione; concessione; capacità,"Derivato dal latino ""interdictio"".",Interdizione dai pubblici uffici.,Chiedere l'interdizione dell'anziano parente.,Fuoco di interdizione (militare).,Media,Giuridico / Militare,Nessuno,No
,Intronizzare,intronizzàre,Porre sul trono; figurato: esaltare eccessivamente qualcuno.,Insediare; esaltare; mettere sul trono; glorificare,Deporre; detronizzare; umiliare; abbassare,"Derivato da ""trono"".",Intronizzare il nuovo papa.,È stato intronizzato dai media come un eroe.,Cerimonia di intronizzazione.,Bassa,Religioso / Ironico,Nessuno,No
,Intrudere,intrùdere,Introdurre a forza o indebitamente (spesso in geologia o materiali plastici).,Introdurre a forza; ficcare dentro; spingere,Estrudere; espellere; tirare fuori,"Derivato dal latino ""intrudere"".",Rocce ignee intruse (o intrudute).,Materiale estruso o intruso.,"In italiano comune si usa ""intromettere"".",Molto bassa,Geologia / Tecnico,Nessuno,No
,Inusitato,inusitàto,"Non usato, insolito, straordinario, fuori dal comune.",Insolito; raro; straordinario; disusato,Comune; solito; consueto; frequente,"Derivato dal latino ""inusitatus"".",Parola inusitata.,Violenza inusitata.,Spettacolo inusitato.,Bassa,Letterario,Inusuale (più comune),No
,Invalso,invàlso,"Entrato nell'uso, diventato consuetudine (di usanza o parola).",Diffuso; consueto; radicato; comune,Disusato; abbandonato; nuovo; insolito,"Participio passato di ""invalere"".",L'uso invalso di questo termine.,È ormai invalsa la cattiva abitudine di...,Costume invalso.,Bassa,Colto,Nessuno,No
,Invasivo,invasìvo,Che penetra o si diffonde in modo aggressivo (specie in medicina o biologia).,Penetrante; intrusivo; aggressivo; diffuso,Conservativo; superficiale; circoscritto,"Derivato da ""invadere"".",Chirurgia mini-invasiva.,Specie invasiva (biologia).,Domande invasive sulla vita privata.,Alta,Comune,Nessuno,No
,Inviso,invìso,"Guardato male, antipatico, odioso, malvisto.",Odioso; malvisto; antipatico; sgradito,Gradito; amato; benvisto; caro,"Derivato dal latino ""invisus"".",Un provvedimento inviso alla popolazione.,Essere inviso ai potenti.,Politico inviso.,Bassa,Formale,Nessuno,No
,Iperbole,ipèrbole,Figura retorica dell'esagerazione; (Geometria) curva conica.,Esagerazione; eccesso; ingrandimento,Eufemismo; litote; attenuazione,"Derivato dal greco ""hyperbole"" (lancio oltre).",Ho sceso un milione di scale è un'iperbole.,Ramo di iperbole.,Parlare per iperboli.,Media,Retorica / Matematica,Nessuno,No
,Ipocoristico,ipocorìstico,Vezzeggiativo; nome abbreviato o modificato per affetto (es. Gianni per Giovanni).,Vezzeggiativo; diminutivo affettuoso; nomignolo,Accrescitivo; spregiativo,"Derivato dal greco ""hypokoristikos"".",Mimmo è un ipocoristico di Domenico.,Suffisso ipocoristico.,Uso di nomi ipocoristici in famiglia.,Bassa,Linguistica,Nessuno,No
,Ipogramma,ipogràmma,Parola o tema che appare nascosto o disseminato in un testo (teoria di Saussure).,(Linguistica) Parola nascosta o sottesa,-,"Derivato dal greco ""hypo"" (sotto) e ""gramma"".",Gli ipogrammi nella poesia antica.,La teoria degli ipogrammi.,Da non confondere con lipogramma.,Molto bassa,Linguistica,Ippogramma (errato),No
,Ipostasi,ipòstasi,"Sostanza, realtà sottostante; (Teologia) le tre persone della Trinità.",Sostanza; essenza; personificazione; realtà,Accidente; apparenza; attributo,"Derivato dal greco ""hypostasis"" (ciò che sta sotto).",Unione ipostatica (natura umana e divina di Cristo).,L'ipostasi dello Stato (concetto astratto reso ente).,Tre ipostasi in un solo Dio.,Molto bassa,Filosofia / Teologia,Nessuno,No
,Ipseità,ipseità,"L'identità individuale, il fatto di essere proprio quel determinato essere (sé stesso).",Identità individuale; sé stesso; personalità,Alterità; diversità,"Derivato dal latino ""ipse"" (stesso).",L'ipseità come principio di individuazione.,Riconoscere l'ipseità dell'altro.,Concetto filosofico dell'ipseità.,Molto bassa,Filosofia,Nessuno,No
,Iracondo,iracóndo,"Che si adira facilmente, collerico.",Collerico; rabbioso; stizzoso; furioso,Calmo; pacifico; mite; sereno,"Derivato dal latino ""iracundus"".",Un carattere iracondo e violento.,Gli iracondi nel girone dantesco.,Sguardo iracondo.,Bassa,Letterario,Nessuno,No
,Iridescente,iridescènte,"Che ha i colori dell'arcobaleno, cangiante.",Cangiante; luccicante; variopinto; madreperlaceo,Opaco; monocromo; spento,"Derivato da ""iride"" (arcobaleno).",Le ali iridescenti della libellula.,Vetro iridescente.,Riflessi iridescenti sull'olio.,Bassa,Comune,Nessuno,No
,Irresolubile,irresolùbile,Che non si può risolvere (problema) o sciogliere (chimica).,Insolubile; senza soluzione; inestricabile,Risolvibile; scioglibile; semplice,"Derivato dal latino ""irresolubilis"".",Un enigma irresolubile.,Conflitto irresolubile.,Sostanza irresolubile in acqua (insolubile è più comune in chimica).,Bassa,Comune,Irrisolubile (variante comune),No
,Irretire,irretìre,"Prendere nella rete; figurato: sedurre, ingannare, intrappolare.",Intrappolare; sedurre; ingannare; avviluppare,Liberare; sciogliere; disilludere; salvare,"Derivato da ""rete"".",Si lasciò irretire dalle sue lusinghe.,Irretire la vittima con false promesse.,Cacciatore che irretisce la preda.,Bassa,Letterario,Nessuno,No
,Irridere,irrìdere,"Deridere, beffeggiare, schernire (spesso un'autorità o un ideale).",Deridere; beffeggiare; schernire; canzonare,Rispettare; onorare; ammirare,"Derivato dal latino ""irridere"".",Irridere le leggi.,Irridere la sacralità del luogo.,Fu irriso da tutti.,Bassa,Letterario,Nessuno,No
,Irruente,irruènte,"Che si precipita con impeto; violento, impulsivo.",Impetuoso; violento; travolgente; impulsivo,Calmo; pacato; riflessivo; controllato,"Participio presente di ""irruere"".",Un fiume irruente.,Personalità irruente.,Entrò in modo irruente.,Media,Comune,Irruento (variante aggettivale comune),No
,Irto,ìrto,Pieno di peli o spine ritte; figurato: pieno di difficoltà.,Pieno; fitto; ispido; spinoso,Liscio; rado; privo; morbido,"Derivato dal latino ""hirtus"".",Un sentiero irto di ostacoli.,Pelo irto per la paura.,Barba irta e dura.,Bassa,Letterario,Nessuno,No
,Istanza,istànza,"Richiesta scritta a un'autorità; (Filosofia/Psicologia) esigenza, bisogno; livello di giudizio.",Richiesta; domanda; esigenza; petizione,Rifiuto; concessione; ordine,"Derivato dal latino ""instantia"".",Presentare un'istanza al sindaco.,Tribunale di prima istanza.,Le istanze morali dell'Io.,Alta,Burocratico / Giuridico,Istanze (plurale nell'input),No
,Isteresi,isterèsi,Fenomeno fisico per cui l'effetto è in ritardo rispetto alla causa (es. magnetismo).,Ritardo (nella risposta fisica),Immediatezza; prontezza,"Derivato dal greco ""hysteresis"" (ritardo).",Ciclo di isteresi magnetica.,L'isteresi elastica della gomma.,Errore di isteresi.,Molto bassa,Fisica,Nessuno,No
,Istintivo,istintìvo,"Dettato dall'istinto, non ragionato; spontaneo.",Spontaneo; naturale; impulsivo; immediato,Ragionato; calcolato; razionale; meditato,"Derivato da ""istinto"".",Una reazione istintiva.,Agire in modo istintivo.,Antipatia istintiva.,Alta,Comune,Nessuno,No
,Istintuale,istintuàle,Relativo agli istinti (termine specifico della psicoanalisi/biologia).,Degli istinti; pulsionale; inconscio,Razionale; intellettuale; cosciente,"Derivato da ""istinto"".",Pulsione istintuale.,Comportamento istintuale degli animali.,La sfera istintuale.,Bassa,Psicologia,Nessuno,No
,Kermesse,kermèsse,Grande fiera o festa popolare; evento o manifestazione (spesso politica o sportiva).,Festa; fiera; rassegna; festival,-,"Dal fiammingo ""kerkmis"" (messa di chiesa/festa patronale).",La kermesse del festival del cinema.,Una gioiosa kermesse di piazza.,Kermesse elettorale.,Media,Giornalistico,Kermese (una s),No
,Lacaniano,lacaniàno,Relativo alle teorie dello psicanalista francese Jacques Lacan.,(Psicoanalisi) Relativo a J. Lacan,-,Dal nome di J. Lacan.,L'inconscio strutturato come un linguaggio è un concetto lacaniano.,Analisi lacaniana.,Lo stadio dello specchio lacaniano.,Bassa,Psicologia,Nessuno,No
,Laconico,lacònico,"Molto breve, conciso, essenziale nel parlare (come gli spartani).",Breve; conciso; sintetico; asciutto,Prolisso; verboso; logorroico; ridondante,"Dal greco ""lakonikos"" (della Laconia/Sparta).","Rispose con un ""no"" laconico.",Stile laconico e asciutto.,Essere laconici non significa essere scortesi.,Media,Comune,Nessuno,No
,Lapalissiano,lapalissiàno,"Del tutto ovvio, evidente, scontato (tautologico).",Ovvio; scontato; evidente; banale,Dubbio; oscuro; profondo; enigmatico,Da M. de La Palice (per una canzone che ne storpiava l'epitaffio).,È una verità lapalissiana.,Affermare che l'acqua bagna è lapalissiano.,Ragionamento lapalissiano.,Media,Comune / Colto,Lapalissano (una i),No
,Larvato,larvàto,"Nascosto, velato, non manifesto; in forma di larva (bozza).",Nascosto; velato; latente; mascherato,Manifesto; palese; evidente; dichiarato,"Dal latino ""larva"" (maschera/spettro).",Una critica larvata ma pungente.,Infezione in forma larvata (senza sintomi evidenti).,Minaccia larvata.,Bassa,Letterario / Medico,Nessuno,No
,Lascivo,lascìvo,"Sensuale in modo sfacciato, lussurioso, impudico.",Lussurioso; sensuale; impudico; osceno,Casto; pudico; morigerato; puro,"Dal latino ""lascivus"" (sfrenato).",Sguardi lascivi.,Danze lascive.,Un dipinto considerato lascivo.,Bassa,Letterario,Nessuno,No
,Lasco,làsco,"Allentato, non teso (detto di funi o legami); figurato: poco rigoroso.",Lento; allentato; molle; non teso,Teso; stretto; rigido; tirato,"Dal latino ""laxus"" (lento).",Tenere la cima lasca.,Maglie lasche del tessuto.,Morale lasca.,Bassa,Nautica / Tecnico,Nessuno,No
,Latinucci,latinùcci,"Latino scolastico, semplice o scorretto (uso spregiativo o affettuoso).",Latino maccheronico; latino scolastico,Latino classico; latino puro,"Diminutivo/spregiativo di ""latino"".",Storpiare quattro latinucci.,Si difende con i suoi latinucci imparati a scuola.,Non bastano due latinucci per sembrare colti.,Molto bassa,Scherzoso,Nessuno,No
,Latitudine,latitùdine,Distanza angolare di un punto dall'Equatore; figurato: libertà d'azione o regione.,(Geog) Coordinata; (Fig) Libertà; margine,Restrizione; vincolo,"Dal latino ""latitudo"" (larghezza).",A queste latitudini fa molto freddo.,Lasciare ampia latitudine di giudizio.,Calcolare la latitudine.,Media,Geografia,Nessuno,No
,Lattescente,lattescènte,Che ha l'aspetto o il colore del latte; che produce latte (piante).,Lattiginoso; biancastro; lattifero,-,"Derivato da ""latte"".",Liquido bianco e lattescente.,Il succo lattescente del fico.,Opale lattescente.,Bassa,Botanica / Mineralogia,Latescente (una t),No
,Lattiginoso,lattiginóso,Biancastro e opaco come il latte.,Bianco; opaco; latteo; opalino,Limpido; trasparente; cristallino,"Derivato da ""latte"".",Vetro lattiginoso.,Una nebbia lattiginosa copriva la valle.,Pelle dal colorito lattiginoso.,Bassa,Descrittivo,Lattigonoso (refuso nell'input),No
,Lavacro,lavàcro,Bagno (specie rituale o purificatore); il luogo dove ci si lava.,Bagno; abluzione; purificazione; fonte,-,"Dal latino ""lavacrum"".",Il lavacro del battesimo.,Purificarsi con un sacro lavacro.,Immergersi nel lavacro.,Bassa,Religioso / Letterario,Nessuno,No
,Lestofante,lestofànte,"Furfante, truffatore, persona senza scrupoli (spesso ironico).",Truffatore; imbroglione; furfante; mascalzone,Galantuomo; onesto; persona retta,"Composto da ""lesto"" e ""fante"" (soldato).",Non fidarti di quel lestofante.,È un vecchio lestofante che ne sa una più del diavolo.,Banda di lestofanti.,Media,Comune / Scherzoso,Nessuno,No
,Levità,levità,"Leggerezza (fisica o spirituale), grazia; superficialità.",Leggerezza; grazia; delicatezza; soavità,Pesantezza; gravità; goffaggine; rozzezza,"Dal latino ""levitas"".",Danzare con incredibile levità.,Affrontare i problemi con levità (senza angoscia).,La levità di un tocco.,Bassa,Letterario,Nessuno,No
,Lisergico,lisèrgico,"Relativo a sostanze psichedeliche allucinogene; visionario, deformato.",Psichedelico; allucinogeno; visionario; acido,Realistico; sobrio; lucido,"Derivato da ""LSD"" (Lysergic Acid Diethylamide).",Un viaggio lisergico.,Colori lisergici.,Esperienza lisergica.,Bassa,Droga / Cultura pop,Nessuno,No
,Livore,livóre,"Rancore profondo, invidia maligna; colore livido (della pelle).",Rancore; astio; invidia; odio,Benevolenza; amore; simpatia; perdono,"Dal latino ""livor"" (livido/invidia).",Parlare con livore dei colleghi.,I suoi occhi erano pieni di livore.,Il livore cadaverico.,Media,Letterario / Comune,Nessuno,No
,Livoroso,livoróso,"Pieno di rancore, astioso, invidioso.",Rancoroso; invidioso; astioso; malevolo,Benevolo; affettuoso; amichevole,"Derivato da ""livore"".",Un commento livoroso.,Critico livoroso e ingiusto.,Animo livoroso.,Bassa,Comune,Nessuno,No
,Longitudine,longitùdine,Distanza angolare di un punto dal Meridiano di Greenwich.,(Geog) Coordinata geografica,-,"Dal latino ""longitudo"" (lunghezza).",Calcolare longitudine e latitudine.,Spostarsi in longitudine.,Il problema della longitudine nella navigazione antica.,Media,Geografia,Nessuno,No
,Lucifugo,lucìfugo,"Che fugge la luce, che vive al buio (animali notturni).",Che fugge la luce; notturno; oscuro,Eliofilo; diurno; solare,"Composto da ""luce"" e ""fuggire"".",Insetti lucifughi come gli scarafaggi.,Comportamento lucifugo.,Animali lucifughi delle caverne.,Molto bassa,Zoologia,Nessuno,No
,Lucore,lucóre,"Splendore diffuso, luce tenue o riflessa (spesso misteriosa).",Chiarore; splendore tenue; luccichio; bagliore,Buio; tenebra; oscurità,"Dal latino ""lux"" (luce).",Un lucore spettrale apparve nella nebbia.,Il lucore dell'alba.,Vago lucore lunare.,Bassa,Letterario,Nessuno,No
,Luculliano,luculliàno,"Sfarzoso, abbondante e raffinato (riferito a pasti o banchetti).",Sfarzoso; abbondante; opulento (pasto),Frugale; misero; parco; sobrio,"Da Lucullo, generale romano famoso per il lusso.",Un pranzo luculliano.,Cena luculliana.,Vivere in modo luculliano.,Bassa,Comune,Luculiano (una l),No
,Luddista,luddìsta,Chi si oppone all'introduzione di nuove macchine/tecnologie (storicamente distruttori di telai).,Nemico del progresso; oscurantista; distruttore,Innovatore; tecnofilo; progressista,Da Ned Ludd (operaio inglese leggendario).,Atteggiamento luddista verso l'intelligenza artificiale.,I luddisti distruggevano i macchinari industriali.,Neo-luddista.,Bassa,Storico / Sociologia,Ludista (una d),No
,Lumeggiante,lumeggiànte,"Che mette in risalto, che evidenzia vividamente (un dettaglio o una verità).",Che illumina; che evidenzia; risaltante,Oscurante; che nasconde,"Participio presente di ""lumeggiare"".",Un raggio lumeggiante tra le nubi.,Particolari lumeggianti d'oro (pittura).,Discorso lumeggiante sulla situazione.,Bassa,Arte / Letterario,Nessuno,No
,Lussureggiante,lussureggiànte,"Rigoglioso, abbondante, ricco (specie di vegetazione).",Rigoglioso; florido; abbondante; ricco,Spoglio; arido; stento; povero,"Derivato da ""lussuria"" (nel senso latino di abbondanza).",Vegetazione tropicale lussureggiante.,Giardino lussureggiante.,Stile lussureggiante (barocco).,Media,Comune,Lussuregiante (una g),No
,Lussurioso,lussurióso,"Dedito alla lussuria, dominato dal desiderio sessuale.",Lascivo; libidinoso; impudico; vizioso,Casto; continente; puro; virtuoso,"Derivato da ""lussuria"".",Pensieri lussuriosi.,I lussuriosi nel cerchio infernale.,Sguardo lussurioso.,Media,Comune,Lussuroso (manca la i),No
,Lùteo,lùteo,Di colore giallo (spesso giallo fangoso); relativo al corpo luteo.,Giallo; giallastro; fangoso,-,"Dal latino ""luteus"" (giallo o fangoso).",Colore lùteo.,Corpo lùteo (fase del ciclo mestruale).,Riflessi lùtei.,Molto bassa,Medico / Letterario,Nessuno,No
,Maciste,macìste,"Uomo di forza eccezionale, gigante buono.",Colosso; gigante; ercole; culturista,Nano; debole; gracile; mingherlino,"Dal personaggio cinematografico ""Maciste"" (film muto 1914).",Quel facchino è un maciste.,Ha un fisico da maciste.,Sollevava pesi come un maciste.,Bassa,Cinema / Colloquiale,Nessuno,No
,Madeleine,madelèine,Piccolo dolce francese; figurato: oggetto/sapore che evoca un ricordo involontario del passato.,Dolcetto (francese); (fig) evocatore di ricordi,-,"Dalla ""Recherche"" di M. Proust.",Quel profumo è stata la mia madeleine.,Effetto madeleine.,Mangiare una madeleine inzuppata nel tè.,Bassa,Letterario / Colto,Madelene (italianizzato errato),No
,Madia,màdia,Mobile rustico in legno usato un tempo per impastare e conservare il pane.,Credenza; madia per pane; cassone,-,"Dal latino ""magida"".",Conservare la farina nella madia.,Una vecchia madia restaurata.,Pulire la madia.,Bassa,Arredamento / Storico,Nessuno,No
,Maieutica,maièutica,"Il metodo socratico di ""far partorire"" la verità all'interlocutore tramite domande.",Metodo socratico; arte ostetrica (fig),-,"Dal greco ""maieutike"" (arte della levatrice).",Socrate usava l'ironia e la maieutica.,Approccio pedagogico basato sulla maieutica.,Arte maieutica.,Bassa,Filosofia / Pedagogia,Nessuno,No
,Malia,malìa,"Incantesimo, fattura; fascino irresistibile e misterioso.",Incantesimo; fascino; sortilegio; stregoneria,Disincanto; realtà; ripulsa,Probabile origine preromana.,Rompere la malia.,La malia del suo sguardo.,Essere vittima di una malia d'amore.,Bassa,Letterario,Nessuno,No
,Malignevole,malignévole,"Maligno, malevolo (termine arcaico o letterario).",Maligno; malevolo; cattivo; perfido,Benevolo; buono; amichevole,"Derivato da ""maligno"".",Sorriso malignevole.,Intenzioni malignevoli.,Spirito malignevole.,Molto bassa,Arcaico,Nessuno,No
